patentId,artUnit,examinerName,filingDate,issueDate
9075849,2162,"JAMI, HARES",2014-07-22,2015-07-07
7774280,3621,"WEST, THOMAS C",2004-10-04,2010-08-10
6766304,3624,"WEISBERGER, RICHARD C",2001-06-27,2004-07-20
8214246,3623,"DICKERSON, TIPHANY B",2004-09-30,2012-07-03
6421724,2858,"BENSON, WALTER",1999-08-30,2002-07-16
6081792,3693,"MERCHANT, SHAHID R",1998-01-15,2000-06-27
6526426,2176,"FEILD, JOSEPH H",1999-01-28,2003-02-25
8646093,2431,"AVERY, JEREMIAH L",2009-12-09,2014-02-04
7516177,2451,"MAUNG, ZARNI",2004-06-28,2009-04-07
7783556,3695,"LIU, CHIA-YI",2004-03-12,2010-08-24
8285648,3621,"KUCAB, JAMIE R",2009-03-27,2012-10-09
7810144,2436,"HOFFMAN, BRANDON S",2009-04-07,2010-10-05
8881027,2179,"THERIAULT, STEVEN B",2011-09-02,2014-11-04
9081485,2179,"THERIAULT, STEVEN B",2011-09-02,2015-07-14
7207005,2176,"BASHORE, WILLIAM L",2002-12-05,2007-04-17
7533056,3694,"GREENE, DANIEL LAWSON",2006-05-03,2009-05-12
8352317,3682,"ALVAREZ, RAQUEL",2012-04-06,2013-01-08
7676411,3693,"WEISBERGER, RICHARD C",2006-10-25,2010-03-09
6772132,3624,"WEISBERGER, RICHARD C",2000-06-09,2004-08-03
5924080,2765,"KANOF, PEDRO R",1996-05-28,1999-07-13
6546002,2664,"JONES, PRENELL P",1999-07-07,2003-04-08
5339352,2608,"CUMMING, WILLIAM D",1992-10-01,1994-08-16
7194698,2174,"NGUYEN, LE V",2002-03-25,2007-03-20
7194698,2174,"NGUYEN, LE V",2002-03-25,2007-03-20
8041805,2443,"SHIN, KYUNG H",2006-07-19,2011-10-18
6600497,2174,"JOSEPH, THOMAS J",1999-11-15,2003-07-29
6918082,2176,"DESAI, RACHNA SINGH",1998-12-17,2005-07-12
6871325,2173,"NGUYEN, CAO H",2001-11-01,2005-03-22
6384850,2173,"NGUYEN, CAO H",1999-09-21,2002-05-07
8671057,3685,"RAVETTI, DANTE",2009-12-24,2014-03-11
7685055,3693,"WEISBERGER, RICHARD C",2006-05-03,2010-03-23
7908172,3688,"CHAMPAGNE, DONALD",2001-04-20,2011-03-15
